depth,fid_qiskit,fid_model,delta_f
9,0.803208496787366,0.11613933345466297,-0.6870691633327031
7,0.6203824909392699,0.8321126531814604,0.21173016224219054
7,0.8805408000000001,0.8840000000000001,0.0034591999999999956
7,0.672661402538464,0.8260912982571498,0.15342989571868582
11,0.8524553588614198,0.8646101730303999,0.012154814168980121
4,0.9724278665136701,0.9786704402655441,0.006242573751873981
8,0.6768161954631088,0.2960508428271618,-0.38076535263594696
4,0.8770951424000001,0.8770951424000001,0.0
5,0.5805586127225331,0.2646235536719876,-0.3159350590505455
6,0.24702393599999994,0.8743851959121491,0.6273612599121492
10,0.9763331993109134,0.974748563630442,-0.0015846356804714024
11,0.957775268837562,0.823228724756462,-0.1345465440811
7,0.9880638719999999,0.992016,0.00395212800000011
6,0.9400000000000001,0.9400000000000001,0.0
7,0.24702393600000006,0.2490000000000001,0.001976064000000055
8,0.2400000000000001,0.2400000000000001,0.0
11,0.980206787579904,0.29526034134467255,-0.6849464462352315
6,0.9400000000000001,0.9400000000000001,0.0
6,0.4312274800886704,0.826121643008,0.39489416291932955
7,0.764332368934302,0.8191799491758156,0.054847580241513594
7,0.9960000000000001,0.9960000000000001,0.0
9,0.5006644354211367,0.7969652881372771,0.2963008527161404
9,0.9179884582460404,0.9325747199999999,0.014586261753959495
10,0.9400000000000001,0.9400000000000001,0.0
7,0.9218047893428636,0.9290187622400001,0.007213972897136545
5,0.9880957439999999,0.996,0.00790425600000011
8,0.9880957439999994,0.830679936,-0.15741580799999944
8,0.911198809851273,0.8814143999999997,-0.029784409851273286
10,0.984143361024,0.9837878362561623,-0.0003555247678377338
7,0.6721280647486796,0.2984064000000004,-0.3737216647486792
9,0.6284615504609793,0.2850605374382083,-0.343401013022771
7,0.9217102445735119,0.9289241011200002,0.0072138565464883175
9,0.996,0.996,0.0
10,0.46515276455808297,0.9201911125169879,0.45503834795890497
9,0.9325100799999999,0.93624,0.003729920000000053
6,0.5859855519708008,0.8780423424000002,0.2920567904291994
8,0.988095744,0.996,0.007904255999999998
11,0.6426337334546562,0.19488587622400017,-0.4477478572306561
6,0.9841274890239997,0.4960159999999999,-0.4881114890239998
7,0.93632,0.93632,0.0
6,0.988095744,0.992032,0.003936256000000027
8,0.9181175701854921,0.92892410112,0.010806530934507896
11,0.9880957439999999,0.8306799359999998,-0.1574158080000001
5,0.612895002305134,0.8229650729790114,0.2100700706738774
5,0.6182672828453982,0.9289241011199999,0.3106568182746017
4,0.6286398859843083,0.9325100799999999,0.3038701940156916
5,0.6218564126270952,0.27628288000000045,-0.3455735326270948
11,0.2764034485903186,0.24720118980608036,-0.029202258784238266
11,0.5489207421423656,0.3787494533666345,-0.17017128877573112
4,0.93632,0.93632,0.0
5,0.08697845979058354,0.019919999999999997,-0.06705845979058354
8,0.6289608374948961,0.2949518354808675,-0.33400900201402856
6,4.761702400000012e-05,0.8746838272000002,0.8746362101760001
5,0.25000000000000006,0.8309012480000001,0.580901248
9,0.8111429115079157,0.7456304192965403,-0.06551249221137545
11,0.4204109389545582,0.27424506815414296,-0.14616587080041527
5,0.9251738070220802,0.9325747200000001,0.0074009129779198934
6,0.9400000000000001,0.9400000000000001,0.0
9,1.0,0.8340160000000001,-0.1659839999999999
11,0.19937382368792256,0.001,-0.19837382368792256
6,0.8702863024603137,0.8770951424000002,0.006808839939686506
7,0.93265472,0.9326547200000002,1.1102230246251565e-16
4,0.92904808448,0.9363199999999999,0.00727191551999995
5,0.6152452619188903,0.2762828800000004,-0.3389623819188899
