------------------------------------------------
Starting Stage 1: The Bootcamp
Date: Mon Jan  5 15:25:25 EST 2026
------------------------------------------------
Loading config from qcgpt3/configs/big_entangle_stage1_bootcamp.json
Created run directory: model_checkpoints/qcgpt3_big_entangle_stage1_bootcamp
Building dataloader with max_depth=8
[HighPerformanceDataset] Configured for 500000 samples. QDPE-accelerated.
Starting training from epoch 1 to 100
Epoch 001 | T_Loss: 4.9856 (loss_sup: 4.0405 | loss_ent_teacher: 0.0473) | V_Loss: 4.5194 (loss_sup: 3.8480 | loss_ent_teacher: 0.0333) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 002 | T_Loss: 4.5321 (loss_sup: 3.8450 | loss_ent_teacher: 0.0344) | V_Loss: 4.4932 (loss_sup: 3.8331 | loss_ent_teacher: 0.0327) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 003 | T_Loss: 4.5135 (loss_sup: 3.8312 | loss_ent_teacher: 0.0341) | V_Loss: 4.4764 (loss_sup: 3.8173 | loss_ent_teacher: 0.0327) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 004 | T_Loss: 4.4084 (loss_sup: 3.7254 | loss_ent_teacher: 0.0341) | V_Loss: 4.2552 (loss_sup: 3.5950 | loss_ent_teacher: 0.0328) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 005 | T_Loss: 4.2288 (loss_sup: 3.5461 | loss_ent_teacher: 0.0341) | V_Loss: 4.1076 (loss_sup: 3.4497 | loss_ent_teacher: 0.0327) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.99e-04 | LR_Dec: 1.99e-04
Epoch 006 | T_Loss: 4.1048 (loss_sup: 3.4232 | loss_ent_teacher: 0.0341) | V_Loss: 3.9943 (loss_sup: 3.3368 | loss_ent_teacher: 0.0327) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.99e-04 | LR_Dec: 1.99e-04
Epoch 007 | T_Loss: 4.0094 (loss_sup: 3.3284 | loss_ent_teacher: 0.0341) | V_Loss: 3.9021 (loss_sup: 3.2442 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.99e-04 | LR_Dec: 1.99e-04
Epoch 008 | T_Loss: 3.9260 (loss_sup: 3.2452 | loss_ent_teacher: 0.0340) | V_Loss: 3.8121 (loss_sup: 3.1535 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.99e-04 | LR_Dec: 1.99e-04
Epoch 009 | T_Loss: 3.8447 (loss_sup: 3.1641 | loss_ent_teacher: 0.0340) | V_Loss: 3.7219 (loss_sup: 3.0637 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.98e-04 | LR_Dec: 1.98e-04
Epoch 010 | T_Loss: 3.7620 (loss_sup: 3.0816 | loss_ent_teacher: 0.0340) | V_Loss: 3.6330 (loss_sup: 2.9759 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.98e-04 | LR_Dec: 1.98e-04
Epoch 011 | T_Loss: 3.6796 (loss_sup: 2.9993 | loss_ent_teacher: 0.0340) | V_Loss: 3.5446 (loss_sup: 2.8871 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.97e-04 | LR_Dec: 1.97e-04
Epoch 012 | T_Loss: 3.6025 (loss_sup: 2.9223 | loss_ent_teacher: 0.0340) | V_Loss: 3.4676 (loss_sup: 2.8100 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.97e-04 | LR_Dec: 1.97e-04
