------------------------------------------------
Starting Stage 1: The Bootcamp
Date: Wed Jan  7 10:53:02 EST 2026
------------------------------------------------
Loading config from qcgpt3/configs/curriculum_stage1_bootcamp.json
Created run directory: model_checkpoints/qcgpt3_curriculum_bootcamp
Building dataloader with max_depth=8
[HighPerformanceDataset] Configured for 500000 samples. QDPE-accelerated.
Starting training from epoch 1 to 250
Curriculum Stage 'I. Foundations': Updating LRs -> Enc: 0.0002, Dec: 0.0002
Epoch 001 | T_Loss: 4.9795 (loss_sup: 4.0324 | loss_ent_teacher: 0.0473) | V_Loss: 4.5200 (loss_sup: 3.8484 | loss_ent_teacher: 0.0333) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 002 | T_Loss: 4.5339 (loss_sup: 3.8447 | loss_ent_teacher: 0.0345) | V_Loss: 4.4968 (loss_sup: 3.8348 | loss_ent_teacher: 0.0328) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 003 | T_Loss: 4.5115 (loss_sup: 3.8275 | loss_ent_teacher: 0.0342) | V_Loss: 4.4346 (loss_sup: 3.7720 | loss_ent_teacher: 0.0328) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 004 | T_Loss: 4.3638 (loss_sup: 3.6783 | loss_ent_teacher: 0.0343) | V_Loss: 4.2237 (loss_sup: 3.5628 | loss_ent_teacher: 0.0328) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 005 | T_Loss: 4.1965 (loss_sup: 3.5131 | loss_ent_teacher: 0.0342) | V_Loss: 4.0807 (loss_sup: 3.4221 | loss_ent_teacher: 0.0327) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 006 | T_Loss: 4.0794 (loss_sup: 3.3972 | loss_ent_teacher: 0.0341) | V_Loss: 3.9665 (loss_sup: 3.3089 | loss_ent_teacher: 0.0327) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 007 | T_Loss: 3.9824 (loss_sup: 3.3008 | loss_ent_teacher: 0.0341) | V_Loss: 3.8729 (loss_sup: 3.2143 | loss_ent_teacher: 0.0327) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 008 | T_Loss: 3.8966 (loss_sup: 3.2155 | loss_ent_teacher: 0.0341) | V_Loss: 3.7743 (loss_sup: 3.1161 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 009 | T_Loss: 3.8168 (loss_sup: 3.1359 | loss_ent_teacher: 0.0340) | V_Loss: 3.6996 (loss_sup: 3.0423 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 010 | T_Loss: 3.7354 (loss_sup: 3.0547 | loss_ent_teacher: 0.0340) | V_Loss: 3.6021 (loss_sup: 2.9442 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 011 | T_Loss: 3.6527 (loss_sup: 2.9721 | loss_ent_teacher: 0.0340) | V_Loss: 3.5137 (loss_sup: 2.8548 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 012 | T_Loss: 3.5747 (loss_sup: 2.8942 | loss_ent_teacher: 0.0340) | V_Loss: 3.4417 (loss_sup: 2.7826 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
