------------------------------------------------
Starting Stage 1: The Curriculum Bootcamp
Date: Wed Jan 14 16:34:30 EST 2026
------------------------------------------------
Loading config from qcgpt3/configs/curriculum_stage1_bootcamp.json
Resuming from model_checkpoints/qcgpt3_curriculum_bootcamp
Loading checkpoint: model_checkpoints/qcgpt3_curriculum_bootcamp/stage1_bootcamp_e110.pt
Building dataloader with max_depth=12
[HighPerformanceDataset] Configured for 500000 samples. QDPE-accelerated.
Starting training from epoch 111 to 250
Epoch 111 | T_Loss: 2.4378 (loss_sup: 2.3579 | loss_ent_teacher: 0.0040) | V_Loss: 2.3355 (loss_sup: 2.2665 | loss_ent_teacher: 0.0037) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 112 | T_Loss: 2.4301 (loss_sup: 2.3514 | loss_ent_teacher: 0.0039) | V_Loss: 2.3249 (loss_sup: 2.2551 | loss_ent_teacher: 0.0038) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 113 | T_Loss: 2.4231 (loss_sup: 2.3448 | loss_ent_teacher: 0.0039) | V_Loss: 2.3224 (loss_sup: 2.2518 | loss_ent_teacher: 0.0038) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 114 | T_Loss: 2.4155 (loss_sup: 2.3381 | loss_ent_teacher: 0.0039) | V_Loss: 2.3204 (loss_sup: 2.2528 | loss_ent_teacher: 0.0037) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 115 | T_Loss: 2.4105 (loss_sup: 2.3332 | loss_ent_teacher: 0.0039) | V_Loss: 2.3100 (loss_sup: 2.2411 | loss_ent_teacher: 0.0038) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 116 | T_Loss: 2.4027 (loss_sup: 2.3260 | loss_ent_teacher: 0.0038) | V_Loss: 2.3057 (loss_sup: 2.2388 | loss_ent_teacher: 0.0037) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 117 | T_Loss: 2.3956 (loss_sup: 2.3200 | loss_ent_teacher: 0.0038) | V_Loss: 2.3053 (loss_sup: 2.2378 | loss_ent_teacher: 0.0036) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 118 | T_Loss: 2.3907 (loss_sup: 2.3154 | loss_ent_teacher: 0.0038) | V_Loss: 2.2965 (loss_sup: 2.2267 | loss_ent_teacher: 0.0038) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 119 | T_Loss: 2.3838 (loss_sup: 2.3092 | loss_ent_teacher: 0.0037) | V_Loss: 2.2884 (loss_sup: 2.2211 | loss_ent_teacher: 0.0037) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 120 | T_Loss: 2.3755 (loss_sup: 2.3021 | loss_ent_teacher: 0.0037) | V_Loss: 2.2910 (loss_sup: 2.2238 | loss_ent_teacher: 0.0036) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 121 | T_Loss: 2.3712 (loss_sup: 2.2975 | loss_ent_teacher: 0.0037) | V_Loss: 2.2809 (loss_sup: 2.2130 | loss_ent_teacher: 0.0037) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 122 | T_Loss: 2.3645 (loss_sup: 2.2916 | loss_ent_teacher: 0.0036) | V_Loss: 2.2730 (loss_sup: 2.2054 | loss_ent_teacher: 0.0036) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 123 | T_Loss: 2.3609 (loss_sup: 2.2879 | loss_ent_teacher: 0.0037) | V_Loss: 2.2754 (loss_sup: 2.2103 | loss_ent_teacher: 0.0036) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 124 | T_Loss: 2.3537 (loss_sup: 2.2814 | loss_ent_teacher: 0.0036) | V_Loss: 2.2669 (loss_sup: 2.2008 | loss_ent_teacher: 0.0036) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 125 | T_Loss: 2.3495 (loss_sup: 2.2773 | loss_ent_teacher: 0.0036) | V_Loss: 2.2646 (loss_sup: 2.1984 | loss_ent_teacher: 0.0036) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 126 | T_Loss: 2.3441 (loss_sup: 2.2721 | loss_ent_teacher: 0.0036) | V_Loss: 2.2548 (loss_sup: 2.1899 | loss_ent_teacher: 0.0035) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 127 | T_Loss: 2.3388 (loss_sup: 2.2675 | loss_ent_teacher: 0.0036) | V_Loss: 2.2553 (loss_sup: 2.1919 | loss_ent_teacher: 0.0034) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 128 | T_Loss: 2.3345 (loss_sup: 2.2635 | loss_ent_teacher: 0.0036) | V_Loss: 2.2466 (loss_sup: 2.1816 | loss_ent_teacher: 0.0035) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 129 | T_Loss: 2.3290 (loss_sup: 2.2582 | loss_ent_teacher: 0.0035) | V_Loss: 2.2429 (loss_sup: 2.1780 | loss_ent_teacher: 0.0036) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 130 | T_Loss: 2.3223 (loss_sup: 2.2526 | loss_ent_teacher: 0.0035) | V_Loss: 2.2432 (loss_sup: 2.1791 | loss_ent_teacher: 0.0035) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 131 | T_Loss: 2.3175 (loss_sup: 2.2483 | loss_ent_teacher: 0.0035) | V_Loss: 2.2410 (loss_sup: 2.1771 | loss_ent_teacher: 0.0035) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 132 | T_Loss: 2.3130 (loss_sup: 2.2438 | loss_ent_teacher: 0.0035) | V_Loss: 2.2340 (loss_sup: 2.1690 | loss_ent_teacher: 0.0036) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 133 | T_Loss: 2.3106 (loss_sup: 2.2412 | loss_ent_teacher: 0.0035) | V_Loss: 2.2365 (loss_sup: 2.1703 | loss_ent_teacher: 0.0036) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 134 | T_Loss: 2.3046 (loss_sup: 2.2357 | loss_ent_teacher: 0.0034) | V_Loss: 2.2246 (loss_sup: 2.1632 | loss_ent_teacher: 0.0034) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 135 | T_Loss: 2.2979 (loss_sup: 2.2303 | loss_ent_teacher: 0.0034) | V_Loss: 2.2248 (loss_sup: 2.1615 | loss_ent_teacher: 0.0034) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 136 | T_Loss: 2.2934 (loss_sup: 2.2260 | loss_ent_teacher: 0.0034) | V_Loss: 2.2187 (loss_sup: 2.1543 | loss_ent_teacher: 0.0034) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 137 | T_Loss: 2.2898 (loss_sup: 2.2221 | loss_ent_teacher: 0.0034) | V_Loss: 2.2112 (loss_sup: 2.1484 | loss_ent_teacher: 0.0035) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 138 | T_Loss: 2.2842 (loss_sup: 2.2176 | loss_ent_teacher: 0.0033) | V_Loss: 2.2100 (loss_sup: 2.1482 | loss_ent_teacher: 0.0033) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 139 | T_Loss: 2.2811 (loss_sup: 2.2140 | loss_ent_teacher: 0.0034) | V_Loss: 2.2153 (loss_sup: 2.1511 | loss_ent_teacher: 0.0034) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 140 | T_Loss: 2.2766 (loss_sup: 2.2101 | loss_ent_teacher: 0.0033) | V_Loss: 2.2098 (loss_sup: 2.1482 | loss_ent_teacher: 0.0034) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 141 | T_Loss: 2.2725 (loss_sup: 2.2057 | loss_ent_teacher: 0.0033) | V_Loss: 2.2013 (loss_sup: 2.1391 | loss_ent_teacher: 0.0034) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 142 | T_Loss: 2.2679 (loss_sup: 2.2021 | loss_ent_teacher: 0.0033) | V_Loss: 2.1980 (loss_sup: 2.1346 | loss_ent_teacher: 0.0035) | D: 12 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
