------------------------------------------------
Starting Stage 1: The Bootcamp
Date: Mon Jan  5 09:56:58 EST 2026
------------------------------------------------
Loading config from qcgpt3/configs/stage1_bootcamp.json
Created run directory: model_checkpoints/qcgpt3_stage1_bootcamp
Building dataloader with max_depth=8
[HighPerformanceDataset] Configured for 500000 samples. QDPE-accelerated.
Starting training from epoch 1 to 100
Epoch 001 | T_Loss: 3.8900 (loss_sup: 3.8900) | V_Loss: 3.7598 (loss_sup: 3.7601) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 002 | T_Loss: 3.6271 (loss_sup: 3.6270) | V_Loss: 3.4941 (loss_sup: 3.4959) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 003 | T_Loss: 3.4449 (loss_sup: 3.4449) | V_Loss: 3.3360 (loss_sup: 3.3374) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 004 | T_Loss: 3.3124 (loss_sup: 3.3124) | V_Loss: 3.2155 (loss_sup: 3.2167) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 2.00e-04 | LR_Dec: 2.00e-04
Epoch 005 | T_Loss: 3.1989 (loss_sup: 3.1989) | V_Loss: 3.0896 (loss_sup: 3.0910) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.99e-04 | LR_Dec: 1.99e-04
Epoch 006 | T_Loss: 3.0891 (loss_sup: 3.0890) | V_Loss: 2.9683 (loss_sup: 2.9688) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.99e-04 | LR_Dec: 1.99e-04
Epoch 007 | T_Loss: 2.9796 (loss_sup: 2.9795) | V_Loss: 2.8536 (loss_sup: 2.8543) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.99e-04 | LR_Dec: 1.99e-04
Epoch 008 | T_Loss: 2.8819 (loss_sup: 2.8819) | V_Loss: 2.7688 (loss_sup: 2.7688) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.99e-04 | LR_Dec: 1.99e-04
Epoch 009 | T_Loss: 2.7988 (loss_sup: 2.7988) | V_Loss: 2.6821 (loss_sup: 2.6810) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.98e-04 | LR_Dec: 1.98e-04
Epoch 010 | T_Loss: 2.7275 (loss_sup: 2.7274) | V_Loss: 2.6101 (loss_sup: 2.6084) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.98e-04 | LR_Dec: 1.98e-04
Epoch 011 | T_Loss: 2.6593 (loss_sup: 2.6593) | V_Loss: 2.5205 (loss_sup: 2.5179) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.97e-04 | LR_Dec: 1.97e-04
