epoch,loss
1,2.03633657
2,1.65794531
3,1.56138050
4,1.50520492
5,1.47447444
6,1.45672042
7,1.44012430
8,1.42727418
9,1.41944841
10,1.41000475
11,1.40180615
12,1.39445430
13,1.38755326
14,1.37854068
15,1.37157409
16,1.36551345
17,1.35683799
18,1.35078817
19,1.34524244
20,1.34209027
21,1.33695121
22,1.33310447
23,1.32806660
24,1.32544642
25,1.32133858
26,1.31700824
27,1.31446387
28,1.30849945
29,1.30744763
30,1.30337635
31,1.30059079
32,1.29707757
33,1.29326367
34,1.29279056
35,1.28468959
36,1.28178058
37,1.28173389
38,1.27442340
39,1.27220763
40,1.27059336
41,1.26771548
42,1.26441584
43,1.26213214
44,1.26123295
45,1.25848590
46,1.25910581
47,1.25535694
48,1.25288442
49,1.25080101
50,1.25086661


epoch,loss
1,1.26229504
2,1.23662175
3,1.23193230
4,1.22949969
5,1.23089172


epoch,loss
1,1.24228442
2,1.22479771
3,1.22273070
4,1.21952008
5,1.22376099
6,1.22046931
7,1.22104140
8,1.22223825
9,1.22044772
10,1.21979477
11,1.21966015
12,1.21807126
13,1.21923416
14,1.21895037
15,1.21608448
16,1.21409478
17,1.21417343
18,1.21286543
19,1.21469788
20,1.21280962
21,1.21296201
22,1.20967092
23,1.21303484
24,1.20832922
25,1.20625994
26,1.20777955
27,1.20531315
28,1.20606656
29,1.21127440
30,1.20541542
31,1.20403865
32,1.20316715
33,1.20400459
34,1.20128363
35,1.20265594
36,1.20167585
37,1.19992745
38,1.19887771
39,1.20052668
40,1.19861170
41,1.19724878
42,1.19685331
43,1.19678718
44,1.19471808
45,1.19604600
46,1.19574719
47,1.19390360
48,1.19153362
49,1.19210333
50,1.19049789
51,1.19320603
52,1.19089706
53,1.18744465
54,1.18990983
55,1.18677537
56,1.18820551
57,1.18783237
58,1.18818103
59,1.18693203
60,1.18453942
61,1.18371932
62,1.18309211
63,1.18378182
64,1.18132868
65,1.17978529
66,1.18042624
67,1.18156270
68,1.17885361

epoch,loss
1,1.16152260
2,1.15578420
3,1.15638358
4,1.15621102
5,1.15451136
6,1.15917785
7,1.15844806
8,1.16103624
9,1.15893536
10,1.15822375
11,1.15964157
12,1.15817673
13,1.16042294
14,1.16087789
15,1.16037048
16,1.15899854
17,1.15848401
18,1.16075666
19,1.15955312
20,1.16016575
21,1.15782217
22,1.16050247
23,1.15832997
24,1.15622847
25,1.15692199
26,1.15826045
27,1.15790420
28,1.15958276
29,1.15654325
30,1.16060724
31,1.15714615
32,1.15487865
33,1.15449629
34,1.15788520
35,1.15853618
36,1.15820024
37,1.15722325
38,1.15840580
39,1.15856479
40,1.15982468
41,1.15646025
42,1.15826868
43,1.15551016
44,1.15762203
45,1.15830380
46,1.15875655
47,1.15742484
48,1.15656040
49,1.15503353
50,1.15316883
51,1.15635893
52,1.15562718
53,1.15519796
54,1.15660540
55,1.15617944
56,1.15604346
57,1.15552691
58,1.15479420
59,1.15581226
60,1.15574140
